array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
221,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,2.25,2.0,
222,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,4.0,0.2,
223,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,4.0,1.1,
224,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,4.0,2.0,
225,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,0.5,0.2,
226,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,0.5,1.1,
227,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,0.5,2.0,
228,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,2.25,0.2,
229,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,2.25,1.1,
230,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,2.25,2.0,
231,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,4.0,0.2,
232,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,4.0,1.1,
233,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.5,4.0,2.0,
234,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,0.5,0.2,
235,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,0.5,1.1,
236,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,0.5,2.0,
237,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,2.25,0.2,
238,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,2.25,1.1,
239,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,2.25,2.0,
240,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,4.0,0.2,
241,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,4.0,1.1,
242,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.9,4.0,2.0,
243,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,0.5,0.2,
244,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,0.5,1.1,
245,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,0.5,2.0,
246,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,2.25,0.2,
247,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,2.25,1.1,
248,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,2.25,2.0,
249,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,4.0,0.2,
250,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,4.0,1.1,
251,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.1,4.0,2.0,
252,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.5,0.5,0.2,
253,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.9,0.2,0.5,0.5,1.1,
